Year,Series,Units,Value
2016,Total value of the supported investment projects,Millions $ CAD,297.12
2017,Total value of the supported investment projects,Millions $ CAD,439.44
2018,Total value of the supported investment projects,Millions $ CAD,636.11
2019,Total value of the supported investment projects,Millions $ CAD,581.1
2020,Total value of the supported investment projects,Millions $ CAD,776.9
2021,Total value of the supported investment projects,Millions $ CAD,1097.43
2016,Number of projects,Number,173.0
2017,Number of projects,Number,342.0
2018,Number of projects,Number,254.0
2019,Number of projects,Number,239.0
2020,Number of projects,Number,244.0
2021,Number of projects,Number,248.0
