Year,Age,Value
2000,,0.08
2001,,0.08
2002,,0.08
2003,,0.08
2004,,0.08
2005,,0.08
2006,,0.07
2007,,0.07
2008,,0.07
2009,,0.07
2010,,0.06
2011,,0.06
2012,,0.05
2013,,0.05
2014,,0.05
2015,,0.05
2016,,0.05
2017,,0.05
2018,,0.05
2019,,0.05
2020,,0.04
2000,Adults (15-49),0.14
2001,Adults (15-49),0.14
2002,Adults (15-49),0.14
2003,Adults (15-49),0.14
2004,Adults (15-49),0.13
2005,Adults (15-49),0.13
2006,Adults (15-49),0.13
2007,Adults (15-49),0.13
2008,Adults (15-49),0.13
2009,Adults (15-49),0.12
2010,Adults (15-49),0.11
2011,Adults (15-49),0.1
2012,Adults (15-49),0.1
2013,Adults (15-49),0.1
2014,Adults (15-49),0.1
2015,Adults (15-49),0.1
2016,Adults (15-49),0.1
2017,Adults (15-49),0.1
2018,Adults (15-49),0.1
2019,Adults (15-49),0.1
2020,Adults (15-49),0.08
